trip_id	trajet	duree	gare_a	gare_b	gare_a_city	gare_b_city	gare_a_matched	gare_b_matched
OCESN016468F0200216048	Gare de Compiègne - Gare de Maubeuge	80	Compiègne	Maubeuge	MARGNY-LÈS-COMPIÈGNE	MAUBEUGE	1	1
OCESN016514F0900916097	Gare de Argentan - Gare de Dreux	69	Argentan	Dreux	MOULINS-SUR-ORNE	DREUX	1	1
OCESN016550F0200216123	Gare de Caen - Gare de Le Mans	111	Caen	Le Mans	CAEN	MANS (LE )	1	1
OCESN016550F0400416121	Gare de Caen - Gare de Tours	182	Caen	Tours	CAEN	JOUE-LES-TOURS	1	1
OCESN016750F0900916155	Gare de Le Mans - Gare de Paris-Montparnasse 1-2	135	Le Mans	Paris-Montparnasse 1-2	MANS (LE )	PARIS	1	1
OCESN016765F1401416187	Gare de Nogent-le-Rotrou - Gare de Paris-Montparnasse 1-2	102	Nogent-le-Rotrou	Paris-Montparnasse 1-2	NOGENT-LE-ROTROU	PARIS	1	1
OCESN016766F1801816197	Gare de Chartres - Gare de Paris-Montparnasse 1-2	70	Chartres	Paris-Montparnasse 1-2	CHARTRES	PARIS	1	1
OCESN016782F1501516255	Gare de Chartres - Gare de Le Mans	70	Chartres	Le Mans	CHARTRES	MANS (LE )	1	1
OCESN016812F1601616283	Gare de Blois-Chambord - Gare de Tours	38	Blois-Chambord	Tours	BLOIS	JOUE-LES-TOURS	1	1
OCESN016840F1201216363	Gare de Lyon-Perrache - Gare de Tours	366	Lyon-Perrache	Tours	LYON	JOUE-LES-TOURS	1	1
OCESN016840F1601616364	Gare de Lyon-Perrache - Gare de Nevers	211	Lyon-Perrache	Nevers	LYON	NEVERS	1	1
OCESN017301F0200216375	Gare de Latour-de-Carol-Enveitg - Gare de Villefranche-Vernet-l.B	174	Latour-de-Carol-Enveitg	Villefranche-Vernet-l.B	ENVEITG	VILLEFRANCHE-DE-CONFLENT	1	1
OCESN017303F0200216376	Gare de Font-Romeu-Odeillo-Via - Gare de Villefranche-Vernet-l.B	88	Font-Romeu-Odeillo-Via	Villefranche-Vernet-l.B	FONT-ROMEU-ODEILLO-VIA	VILLEFRANCHE-DE-CONFLENT	1	1
OCESN017350F0300316385	Gare de Briançon - Gare de Romans-Bourg-de-Péage	241	Briançon	Romans-Bourg-de-Péage	BRIANCON	ROMANS-SUR-ISERE	1	1
OCESN017352F0800816391	Gare de Briançon - Gare de Veynes-Dévoluy	97	Briançon	Veynes-Dévoluy	BRIANCON	VEYNES	1	1
OCESN017354F0200216399	Gare de Romans-Bourg-de-Péage - Gare de Veynes-Dévoluy	153	Romans-Bourg-de-Péage	Veynes-Dévoluy	ROMANS-SUR-ISERE	VEYNES	1	1
OCESN017369F0700716416	Gare de Gap - Gare de Romans-Bourg-de-Péage	172	Gap	Romans-Bourg-de-Péage	GAP	ROMANS-SUR-ISERE	1	1
OCESN017369F1001016420	Gare de Briançon - Gare de Gap	75	Briançon	Gap	BRIANCON	GAP	1	1
OCESN017370F0200216422	Gare de Briançon - Gare de Valence-Ville	247	Briançon	Valence-Ville	BRIANCON	VALENCE-VILLE	1	0
OCESN017402F2102116431	Gare de Briançon - Gare de Marseille-St-Charles	302	Briançon	Marseille-St-Charles	BRIANCON	MARSEILLE	1	1
OCESN017408F1001016439	Gare de Gap - Gare de Marseille-St-Charles	216	Gap	Marseille-St-Charles	GAP	MARSEILLE	1	1
OCESN017421F2402416443	Gare de Aix-en-Provence - Gare de Marseille-St-Charles	50	Aix-en-Provence	Marseille-St-Charles	AIX-EN-PROVENCE	MARSEILLE	1	1
OCESN017473F0300316464	Gare de Marseille-St-Charles - Gare de Nice-Ville	159	Marseille-St-Charles	Nice-Ville	MARSEILLE	NICE	1	1
OCESN017473F0400416463	Gare de Les Arcs-Draguignan - Gare de Marseille-St-Charles	83	Les Arcs-Draguignan	Marseille-St-Charles	LES ARCS	MARSEILLE	1	1
OCESN017500F0200216492	Gare de Grenoble - Gare de Valence-Ville	74	Grenoble	Valence-Ville	GRENOBLE	VALENCE-VILLE	1	0
OCESN017503F0300316493	Gare de Chambéry-Chal.-les-Eaux - Gare de Valence-Ville	125	Chambéry-Chal.-les-Eaux	Valence-Ville	CHAMBERY	VALENCE-VILLE	1	0
OCESN017506F0700716496	Gare de Annecy - Gare de Valence-Ville	181	Annecy	Valence-Ville	ANNECY	VALENCE-VILLE	1	0
OCESN017516F0500516499	Gare de Annecy - Gare de Chambéry-Chal.-les-Eaux	53	Annecy	Chambéry-Chal.-les-Eaux	ANNECY	CHAMBERY	1	1
OCESN017532F0900916508	Gare de Annecy - Gare de Avignon-Centre	277	Annecy	Avignon-Centre	ANNECY	AVIGNON	1	1
OCESN017544F0800816517	Gare de Annecy - Gare de Grenoble	103	Annecy	Grenoble	ANNECY	GRENOBLE	1	1
OCESN017600F0300316547	Gare de Grenoble - Gare de Lyon-Part-Dieu	82	Grenoble	Lyon-Part-Dieu	GRENOBLE	LYON	1	1
OCESN017702F1301316607	Gare de Avignon-Centre - Gare de Lyon-Part-Dieu	141	Avignon-Centre	Lyon-Part-Dieu	AVIGNON	LYON	1	1
OCESN017704F2702716611	Gare de Lyon-Part-Dieu - Gare de Marseille-St-Charles	246	Lyon-Part-Dieu	Marseille-St-Charles	LYON	MARSEILLE	1	1
OCESN017714F1501516644	Gare de Avignon-Centre - Gare de Marseille-St-Charles	78	Avignon-Centre	Marseille-St-Charles	AVIGNON	MARSEILLE	1	1
OCESN017750F1401416694	Gare de Dijon-Ville - Gare de Paris-Bercy	171	Dijon-Ville	Paris-Bercy	DIJON	PARIS	1	1
OCESN017750F2702716692	Gare de Dijon-Ville - Gare de Paris-Gare-de-Lyon	170	Dijon-Ville	Paris-Gare-de-Lyon	DIJON	PARIS	1	1
OCESN017751F0800816699	Gare de Lyon-Part-Dieu - Gare de Sens	262	Lyon-Part-Dieu	Sens	LYON	SENS	1	1
OCESN017753F1901916708	Gare de Lyon-Part-Dieu - Gare de Paris-Bercy	308	Lyon-Part-Dieu	Paris-Bercy	LYON	PARIS	1	1
OCESN017753F4304316713	Gare de Dijon-Ville - Gare de Lyon-Part-Dieu	124	Dijon-Ville	Lyon-Part-Dieu	DIJON	LYON	1	1
OCESN017753F4804816704	Gare de Lyon-Part-Dieu - Gare de Paris-Gare-de-Lyon	309	Lyon-Part-Dieu	Paris-Gare-de-Lyon	LYON	PARIS	1	1
OCESN017754F2002016721	Gare de Mâcon-Ville - Gare de Paris-Bercy	262	Mâcon-Ville	Paris-Bercy	MACON	PARIS	1	1
OCESN017754F2602616715	Gare de Dijon-Ville - Gare de Mâcon-Ville	74	Dijon-Ville	Mâcon-Ville	DIJON	MACON	1	1
OCESN017754F4004016716	Gare de Mâcon-Ville - Gare de Paris-Gare-de-Lyon	263	Mâcon-Ville	Paris-Gare-de-Lyon	MACON	PARIS	1	1
OCESN017774F1301316842	Gare de Lyon-Perrache - Gare de Paris-Bercy	324	Lyon-Perrache	Paris-Bercy	LYON	PARIS	1	1
OCESN017775F2502516851	Gare de Dijon-Ville - Gare de Lyon-Perrache	137	Dijon-Ville	Lyon-Perrache	DIJON	LYON	1	1
OCESN017775F2902916854	Gare de Lyon-Perrache - Gare de Paris-Gare-de-Lyon	323	Lyon-Perrache	Paris-Gare-de-Lyon	LYON	PARIS	1	1
OCESN017972F0600616926	Gare de Bourg-St-Maurice - Gare de Lyon-Part-Dieu	217	Bourg-St-Maurice	Lyon-Part-Dieu	BOURG-SAINT-MAURICE	LYON	1	1
OCESN017974F0300316929	Gare de Bourg-St-Maurice - Gare de Bourgoin-Jallieu	188	Bourg-St-Maurice	Bourgoin-Jallieu	BOURG-SAINT-MAURICE	BOURGOIN-JALLIEU	1	1
OCESN017974F0600616927	Gare de Albertville - Gare de Bourgoin-Jallieu	119	Albertville	Bourgoin-Jallieu	ALBERTVILLE	BOURGOIN-JALLIEU	1	1
OCESN018000F0100116931	Gare de Chambéry-Chal.-les-Eaux - Gare de Lyon-Part-Dieu	80	Chambéry-Chal.-les-Eaux	Lyon-Part-Dieu	CHAMBERY	LYON	1	1
OCESN018024F0100116954	Gare de Bourgoin-Jallieu - Gare de Chambéry-Chal.-les-Eaux	55	Bourgoin-Jallieu	Chambéry-Chal.-les-Eaux	BOURGOIN-JALLIEU	CHAMBERY	1	1
OCESN018101F0200216959	Gare de La Chaux-de-Fonds - Gare de Morteau	29	La Chaux-de-Fonds	Morteau	LA CHAUX-DE-FONDS	MORTEAU	0	1
OCESN018108F0200216966	Gare de Besançon-Viotte - Gare de La Chaux-de-Fonds	118	Besançon-Viotte	La Chaux-de-Fonds	BESANCON	LA CHAUX-DE-FONDS	1	0
OCESN018108F0600616967	Gare de Besançon-Mouillère - Gare de La Chaux-de-Fonds	112	Besançon-Mouillère	La Chaux-de-Fonds	BESANCON	LA CHAUX-DE-FONDS	1	0
OCESN018120F0200216981	Gare de Pontarlier - Gare de Vallorbe-Cff	33	Pontarlier	Vallorbe-Cff	PONTARLIER	VALLORBE-CFF	1	0
OCESN018122F0200216982	Gare de Frasne - Gare de Neuchâtel	60	Frasne	Neuchâtel	FRASNE	NEUCHÂTEL	1	0
OCESN018124F0300316985	Gare de Neuchâtel - Gare de Travers	22	Neuchâtel	Travers	NEUCHÂTEL	TRAVERS	0	0
OCESN018130F0100116991	Gare de Dole-Ville - Gare de Vallorbe-Cff	63	Dole	Vallorbe-Cff	DOLE	VALLORBE-CFF	1	0
OCESN018131F0200216992	Gare de Frasne - Gare de Vallorbe-Cff	17	Frasne	Vallorbe-Cff	FRASNE	VALLORBE-CFF	1	0
OCESN018160F0200216999	Gare de Delémont - Gare de Meroux	69	Delémont	Meroux	DELÉMONT	MEROUX	0	1
OCESN018160F0300316998	Gare de Delle - Gare de Delémont	52	Delle	Delémont	DELLE	DELÉMONT	1	0
OCESN018163F0300317001	Gare de Biel - Gare de Meroux	99	Biel	Meroux	BIEL	MEROUX	0	1
OCESN018163F0400417000	Gare de Biel - Gare de Delle	82	Biel	Delle	BIEL	DELLE	0	1
OCESN018518F0100117063	Gare de Lyon-Part-Dieu - Gare de Modane	182	Lyon-Part-Dieu	Modane	LYON	MODANE	1	1
OCESN018520F0100117065	Gare de Aix-les-Bains-le-Revard - Gare de Lyon-Part-Dieu	78	Aix-les-Bains-Le Revard	Lyon-Part-Dieu	AIX-LES-BAINS	LYON	1	1
OCESN018901F0100117119	Gare de St-Gervais-L-B-Le-Fayet - Gare de Vallorcine	95	St-Gervais-les-Bains-Le Fayet	Vallorcine	SAINT-GERVAIS-LES-BAINS	VALLORCINE	1	1
OCESN018901F0400417120	Gare de Chamonix-Mont-Blanc - Gare de Vallorcine	33	Chamonix-Mont-Blanc	Vallorcine	CHAMONIX-MONT-BLANC	VALLORCINE	1	1
OCESN018931F0200217178	Gare de Chamonix-Mont-Blanc - Gare de St-Gervais-L-B-Le-Fayet	45	Chamonix-Mont-Blanc	St-Gervais-les-Bains-Le Fayet	CHAMONIX-MONT-BLANC	SAINT-GERVAIS-LES-BAINS	1	1
OCESN019201F0300317199	Gare de Aulnoye Aymeries - Gare de Mons	28	Aulnoye Aymeries	Mons	AULNOYE-AYMERIES	MONSEMPRON-LIBOS	1	1
OCESN019701F0200217207	Gare de Courtrai/Kortrijk - Gare de Lille Flandres	36	Courtrai/Kortrijk	Lille Flandres	COURTRAI/KORTRIJK	LILLE	0	1
OCESN019801F0200217254	Gare de Maubeuge - Gare de Namur	84	Maubeuge	Namur	MAUBEUGE	NAMUR	1	0
OCESN019900F0200217263	Gare de Lille Flandres - Gare de Tournai	30	Lille Flandres	Tournai	LILLE	TOURNAI	1	0
OCESN021703F0100117430	Gare de Brive-la-Gaillarde - Gare de Ussel	106	Brive-la-Gaillarde	Ussel	BRIVE-LA-GAILLARDE	USSEL	1	1
OCESN021901F0200217431	Gare de Dijon-Ville - Gare de Nevers	203	Dijon-Ville	Nevers	DIJON	NEVERS	1	1
OCESN021911F0200217435	Gare de Le Creusot - Gare de Montchanin	11	Le Creusot	Montchanin	ÉCUISSES	ÉCUISSES	1	1
OCESN022945F0300317449	Gare de Nice-Ville - Gare de Tende	137	Nice-Ville	Tende	NICE	TENDE	1	1
OCESN022947F0700717451	Gare de Breil-sur-Roya - Gare de Nice-Ville	70	Breil-sur-Roya	Nice-Ville	BREIL-SUR-ROYA	NICE	1	1
OCESN023101F0100117467	Gare de Annemasse - Gare de Coppet	51	Annemasse	Coppet	ANNEMASSE	COPPET	1	0
OCESN023196F0100117538	Gare de Decize - Gare de Nevers	33	Decize	Nevers	DECIZE	NEVERS	1	1
OCESN023212F0100117551	Gare de Annemasse - Gare de Genève	23	Annemasse	Genève	ANNEMASSE	GENÈVE	1	0
OCESN023312F0100117644	Gare de Coppet - Gare de Evian-les-Bains	94	Coppet	Evian-les-Bains	COPPET	ÉVIAN-LES-BAINS	0	1
OCESN023314F0100117646	Gare de Coppet - Gare de Thonon-les-Bains	85	Coppet	Thonon-les-Bains	COPPET	THONON-LES-BAINS	0	1
OCESN023360F0200217661	Gare de Annemasse - Gare de Thonon-les-Bains	33	Annemasse	Thonon-les-Bains	ANNEMASSE	THONON-LES-BAINS	1	1
OCESN023410F0100117673	Gare de Annecy - Gare de Genève	89	Annecy	Genève	ANNECY	GENÈVE	1	0
OCESN023410F0200217674	Gare de Annecy - Gare de Coppet	117	Annecy	Coppet	ANNECY	COPPET	1	0
OCESN023416F0300317685	Gare de Coppet - Gare de La Roche-sur-Foron	79	Coppet	La Roche-sur-Foron	COPPET	LA ROCHE-SUR-FORON	0	1
OCESN023456F0100117742	Gare de Coppet - Gare de St-Gervais-L-B-Le-Fayet	132	Coppet	St-Gervais-les-Bains-Le Fayet	COPPET	SAINT-GERVAIS-LES-BAINS	0	1
OCESN023462F0200217748	Gare de Cluses (Hte-Savoie) - Gare de Coppet	108	Cluses (Hte-Savoie)	Coppet	CLUSES	COPPET	1	0
OCESN023722F0300317768	Gare de Forbach - Gare de Metz-Ville	47	Forbach	Metz-Ville	FORBACH	METZ	1	1
OCESN023740F0400417808	Gare de Bening - Gare de Metz-Ville	41	Bening	Metz-Ville	BÉNING-LÈS-SAINT-AVOLD	METZ	1	1
OCESN030000R0200217969	Bitche - Gare de Haguenau	69	Bitche	Haguenau	BITCHE	HAGUENAU	1	1
OCESN030001R0300317970	Bitche - Gare de Niederbronn	26	Bitche	Niederbronn	BITCHE	NIEDERBRONN-LES-BAINS	1	1
OCESN030002R0300317973	Bitche-Camp - Gare de Niederbronn	38	Bitche-Camp	Niederbronn	BITCHE	NIEDERBRONN-LES-BAINS	1	1
OCESN030006R0200217979	Gare de Haguenau - Gare de Niederbronn	40	Haguenau	Niederbronn	HAGUENAU	NIEDERBRONN-LES-BAINS	1	1
OCESN030030R0400418029	Bitche-Camp - Gare de Haguenau	76	Bitche-Camp	Haguenau	BITCHE	HAGUENAU	1	1
OCESN030052R0200218051	Gare de Haguenau - Gare de Strasbourg	50	Haguenau	Strasbourg	HAGUENAU	STRASBOURG	1	1
OCESN030064R0200218057	Gare de Haguenau - Gare de Wissembourg	37	Haguenau	Wissembourg	HAGUENAU	WISSEMBOURG	1	1
OCESN030081R0600618069	Bouxwiller-Schattenmann - Haguenau-Moulin-Neuf.	43	Bouxwiller-Schattenmann	Haguenau-Moulin-Neuf.	BOUXWILLER-SCHATTENMANN	HAGUENAU-MOULIN-NEUF.	0	0
OCESN030082R0500518070	Gare de Saverne - Niedermodern/Uberach	50	Saverne	Niedermodern/Uberach	SAVERNE	NIEDERMODERN/UBERACH	1	0
OCESN030083R0200218071	Gare de Ingwiller - Haguenau-Moulin-Neuf.	41	Ingwiller	Haguenau-Moulin-Neuf.	INGWILLER	HAGUENAU-MOULIN-NEUF.	1	0
OCESN030085R1201218074	Dossenheim-(Mairie) - Haguenau-Moulin-Neuf.	69	Dossenheim-(Mairie)	Haguenau-Moulin-Neuf.	DOSSENHEIM-(MAIRIE)	HAGUENAU-MOULIN-NEUF.	0	0
OCESN030086R0200218075	Gare de Obermodern - Saverne-(Ht-Barr)	47	Obermodern	Saverne-(Ht-Barr)	OBERMODERN-ZUTZENDORF	SAVERNE-(HT-BARR)	1	0
OCESN030088R0200218077	Gare de Ingwiller - Saverne-(Ht-Barr)	56	Ingwiller	Saverne-(Ht-Barr)	INGWILLER	SAVERNE-(HT-BARR)	1	0
OCESN030089R0700718078	Gare de Saverne - Haguenau-Moulin-Neuf.	81	Saverne	Haguenau-Moulin-Neuf.	SAVERNE	HAGUENAU-MOULIN-NEUF.	1	0
OCESN030091R0200218080	Bouxwiller-Babenhausen - Dossenheim-(Mairie)	20	Bouxwiller-Babenhausen	Dossenheim-(Mairie)	BOUXWILLER-BABENHAUSEN	DOSSENHEIM-(MAIRIE)	0	0
OCESN030092R0300318082	Bouxwiller-Schattenmann - Niedermodern/Uberach	25	Bouxwiller-Schattenmann	Niedermodern/Uberach	BOUXWILLER-SCHATTENMANN	NIEDERMODERN/UBERACH	0	0
OCESN030095R0500518086	Bouxwiller-Schattenmann - Gare de Obermodern	10	Bouxwiller-Schattenmann	Obermodern	BOUXWILLER-SCHATTENMANN	OBERMODERN-ZUTZENDORF	0	1
OCESN030097R0800818089	Gare de Obermodern - Haguenau-Moulin-Neuf.	31	Obermodern	Haguenau-Moulin-Neuf.	OBERMODERN-ZUTZENDORF	HAGUENAU-MOULIN-NEUF.	1	0
OCESN030099R1301318093	Gare de Obermodern - Gare de Saverne	36	Obermodern	Saverne	OBERMODERN-ZUTZENDORF	SAVERNE	1	1
OCESN030100R0400418095	Gare de Obermodern - Niedermodern/Uberach	12	Obermodern	Niedermodern/Uberach	OBERMODERN-ZUTZENDORF	NIEDERMODERN/UBERACH	1	0
OCESN030103R0400418103	Bouxwiller-Babenhausen - Niedermodern/Uberach	20	Bouxwiller-Babenhausen	Niedermodern/Uberach	BOUXWILLER-BABENHAUSEN	NIEDERMODERN/UBERACH	0	0
OCESN030122R0600618127	Dossenheim-(Mairie) - Gare de Obermodern	23	Dossenheim-(Mairie)	Obermodern	DOSSENHEIM-(MAIRIE)	OBERMODERN-ZUTZENDORF	0	1
OCESN030123R0200218128	Gare de Saverne - Neuwiller-R.-Bouxwiller	18	Saverne	Neuwiller-R.-Bouxwiller	SAVERNE	NEUWILLER-R.-BOUXWILLER	1	0
OCESN030137R0300318141	Gare de Obermodern - Pfaffenhoffen-(Mairie).	8	Obermodern	Pfaffenhoffen-(Mairie).	OBERMODERN-ZUTZENDORF	PFAFFENHOFFEN-(MAIRIE).	1	0
OCESN030138R0500518142	Gare de Saverne - Pfaffenhoffen-(Mairie).	43	Saverne	Pfaffenhoffen-(Mairie).	SAVERNE	PFAFFENHOFFEN-(MAIRIE).	1	0
OCESN030148R0200218147	Gare de Strasbourg - Gare de Sélestat	53	Strasbourg	Sélestat	STRASBOURG	SELESTAT	1	1
OCESN030150R0200218149	Gare de Benfeld - Gare de Strasbourg	42	Benfeld	Strasbourg	BENFELD	STRASBOURG	1	1
OCESN030157R0300318151	Gare de Colmar - Gare de Raedersheim	45	Colmar	Raedersheim	HERRLISHEIM-PRÈS-COLMAR	RAEDERSHEIM	1	1
OCESN030163R0400418153	Buswiller-Eglise - Gare de Mommenheim	19	Buswiller-Eglise	Mommenheim	BUSWILLER-EGLISE	MOMMENHEIM	0	1
OCESN030164R0400418154	Ettendorf-Pl,-de-L'ecol - Gare de Mommenheim	15	Ettendorf-Pl,-de-L'ecol	Mommenheim	ETTENDORF-PL,-DE-L'ECOL	MOMMENHEIM	0	1
OCESN030165R0400418155	Ettendorf-(Angle-Pont) - Gare de Mommenheim	13	Ettendorf-(Angle-Pont)	Mommenheim	ETTENDORF-(ANGLE-PONT)	MOMMENHEIM	0	1
OCESN030166R0300318156	Bouxwiller-Babenhausen - Gare de Mommenheim	30	Bouxwiller-Babenhausen	Mommenheim	BOUXWILLER-BABENHAUSEN	MOMMENHEIM	0	1
OCESN030190R0200218175	Gare de Diemeringen - Gare de Sarreguemines	31	Diemeringen	Sarreguemines	DIEMERINGEN	SARREGUEMINES	1	1
OCESN030191R0200218176	Gare de Sarreguemines - Gare de Strasbourg	125	Sarreguemines	Strasbourg	SARREGUEMINES	STRASBOURG	1	1
OCESN030192R0300318178	Gare de Diemeringen - Gare de Strasbourg	91	Diemeringen	Strasbourg	DIEMERINGEN	STRASBOURG	1	1
OCESN030194R0200218180	Gare de Strasbourg - Gare de Wingen-sur-Moder	64	Strasbourg	Wingen-sur-Moder	STRASBOURG	WINGEN-SUR-MODER	1	1
OCESN030200R0600618181	Gare de Ingwiller - Reipertswiller-SP.	18	Ingwiller	Reipertswiller-SP.	INGWILLER	REIPERTSWILLER-SP.	1	0
OCESN030201R0500518183	Gare de Ingwiller - Lichtenberg-(Eglise).	23	Ingwiller	Lichtenberg-(Eglise).	INGWILLER	LICHTENBERG-(EGLISE).	1	0
OCESN030222R0200218199	Gare de Saverne - Gare de Strasbourg	57	Saverne	Strasbourg	SAVERNE	STRASBOURG	1	1
OCESN030234R0400418205	Gare de Lutzelbourg - Gare de Saverne	15	Lutzelbourg	Saverne	LUTZELBOURG	SAVERNE	1	1
OCESN030241R0200218207	Gare de Kruth - Thann Arrêt La Poste	32	Kruth	Thann Arrêt La Poste	ODEREN	THANN	1	1
OCESN030242R0200218208	Gare de Kruth - Gare de Mulhouse	77	Kruth	Mulhouse	ODEREN	MULHOUSE	1	1
OCESN030244R0200218210	Gare de Kruth - Gare de Thann	32	Kruth	Thann	ODEREN	THANN	1	1
OCESN030250R0200218216	Gare de Kruth - Gare de Wesserling	7	Kruth	Wesserling	ODEREN	FELLERING	1	1
OCESN030273R0300318231	Gare de Colmar - Gare de Metzeral	43	Colmar	Metzeral	HERRLISHEIM-PRÈS-COLMAR	METZERAL	1	1
OCESN030283R0300318235	Gare de Cernay (Haut-Rhin) - Sewen-(Eglise)	60	Cernay (Haut-Rhin)	Sewen	CERNAY	SEWEN	1	0
OCESN030283R0400418236	Cernay-(Lycée) - Sewen-(Eglise)	66	Cernay	Sewen	CERNAY	SEWEN	1	0
OCESN030290R0200218239	Gare de Basel-SBB - Gare de Mulhouse	60	Basel	Mulhouse	BASEL	MULHOUSE	0	1
OCESN030302R0200218245	Gare de Ingwiller - Saverne-(Lycée-Verne)	64	Ingwiller	Saverne-(Lycée-Verne)	INGWILLER	SAVERNE-(LYCÉE-VERNE)	1	0
OCESN030303R0300318247	Frohmuhl- (Lavoir) - Saverne-(Ht-Barr)	83	Frohmuhl- (Lavoir)	Saverne-(Ht-Barr)	FROHMUHL- (LAVOIR)	SAVERNE-(HT-BARR)	0	0
OCESN030303R0400418246	Frohmuhl- (Lavoir) - Gare de Saverne	58	Frohmuhl- (Lavoir)	Saverne	FROHMUHL- (LAVOIR)	SAVERNE	0	1
